,occ,0,1,emp_2018,wage,sqrt_emp
623,Telecommunications line installers and repairers,11.680244,7.013074,123.6,56750.0,11.117553687749837
624,Telemarketers,10.681152,-18.984337,136.9,26290.0,11.700427342623003
625,Telephone operators,7.8344703,-17.291903,5.0,35750.0,2.23606797749979
626,Tellers,-4.759626,-5.231477,449.0,31230.0,21.18962010041709
627,Terrazzo workers and finishers,18.075363,14.111965,3.0,52180.0,1.7320508075688772
628,Textile bleaching and dyeing machine operators and tenders,26.895424,6.2531753,9.0,29460.0,3.0
629,"Textile cutting machine setters, operators, and tenders",29.907286,-3.2545688,13.1,28730.0,3.6193922141707713
630,"Textile knitting and weaving machine setters, operators, and tenders",32.855988,-3.01418,24.8,29980.0,4.979959839195493
631,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",30.703207,-2.4771988,31.0,29790.0,5.5677643628300215
632,Tile and stone setters,20.423887,14.150093,57.0,43050.0,7.54983443527075
633,Tire builders,34.995926,6.641182,21.0,46010.0,4.58257569495584
634,Tire repairers and changers,14.897499,8.6860285,113.4,28640.0,10.648943609579309
635,"Title examiners, abstractors, and searchers",1.1531941,-18.725288,63.6,48180.0,7.974960814950754
636,Tool and die makers,5.7189894,21.235128,72.5,53920.0,8.514693182963201
637,"Tool grinders, filers, and sharpeners",30.270584,5.9611554,7.1,39330.0,2.6645825188948455
638,Traffic technicians,4.2826977,3.7307992,7.7,47480.0,2.7748873851023217
639,Training and development managers,-23.805294,-2.9747324,42.3,113350.0,6.5038450166036395
640,Training and development specialists,-23.19812,-3.821836,327.9,61210.0,18.10800927766495
641,Transit and railroad police,-1.4042971,-0.12406548,4.5,71820.0,2.1213203435596424
642,Transportation inspectors,3.2773356,4.7945056,30.2,75820.0,5.495452665613635
643,Transportation security screeners,13.653001,-3.2678049,51.4,41770.0,7.1693793315739685
